Functional Category	QC Metric / Concept	DDA	DIA	ID-based	ID-free	Usage / Source Notes	Proposed Tier	Unit	PSI-MS Accession Numbers	
RETENTION TIME & CHROMATOGRAPHY STABILITY	Retention time calibration peptides	DDA	DIA	Partially ID-based	ID-free	Used to track LC performance across runs; standard in both DDA and DIA	1	minutes		
RETENTION TIME & CHROMATOGRAPHY STABILITY	iRT coverage / retention time calibration	Partially DDA	DIA	ID-based	NOT ID-free	Core DIA metric for RT alignment; requires identification of iRT peptides	2	count		
RETENTION TIME & CHROMATOGRAPHY STABILITY	iRT spike-in monitoring (each run)	Partially DDA	DIA	ID-based	NOT ID-free	Routine in DIA workflows for RT consistency; monitors identified iRT peptides	2	count		
RETENTION TIME & CHROMATOGRAPHY STABILITY	Retention time reproducibility / stability	DDA	DIA	Partially ID-based	ID-free	Standard QC for LC performance in both acquisition modes; measured from raw data	1	minutes		
RETENTION TIME & CHROMATOGRAPHY STABILITY	Retention time correction & alignment	DDA	DIA	Partially ID-based	ID-free	Critical for DIA; used in DDA for multi-run studies; can use raw or ID-based	2	minutes		
RETENTION TIME & CHROMATOGRAPHY STABILITY	RT reproducibility (PCA-based / multi-site)	DDA	DIA	ID-based	Partially ID-free	Multi-site harmonization studies; typically uses identified features	2	dimensionless		
RETENTION TIME & CHROMATOGRAPHY STABILITY	LC gradient stability monitoring	DDA	DIA	NOT ID_based	ID-free	Instrument-level QC; raw LC system monitoring	1	minutes		
RETENTION TIME & CHROMATOGRAPHY STABILITY	?LC gradient optimization	DDA	DIA	NOT ID_based	ID-free	Method development QC; monitors raw chromatographic performance	2	minutes		
RETENTION TIME & CHROMATOGRAPHY STABILITY	LC pressure stability	DDA	DIA	NOT ID_based	ID-free	System suitability check; direct instrument measurement	1	bar		
RETENTION TIME & CHROMATOGRAPHY STABILITY	Peak width / chromatographic separation efficiency	DDA	DIA	Partially ID-based	ID-free	FWHM measured from raw chromatograms; affects ID quality	2	seconds		
RETENTION TIME & CHROMATOGRAPHY STABILITY	UPLC repeatability and recovery	DDA	DIA	Partially ID-based	ID-free	CLSI-based LC system validation; raw performance metrics	2	percent		
RETENTION TIME & CHROMATOGRAPHY STABILITY	QC pools / in-run study pools	DDA	DIA	ID-based	ID-free	Standard practice in large-batch studies; monitors both raw and ID metrics	1	count		
RETENTION TIME & CHROMATOGRAPHY STABILITY	TIC overlap of pooled QC injections	DDA	DIA	NOT ID_based	ID-free	Visual QC for LC-MS stability; raw TIC chromatograms	2	arbitrary_units		
RETENTION TIME & CHROMATOGRAPHY STABILITY	LC MS signal / base peak stability	DDA	DIA	NOT ID_based	ID-free	Raw signal monitoring for instrument performance	1	arbitrary_units		
RETENTION TIME & CHROMATOGRAPHY STABILITY	Retention time alignment via MetWare QC DB	DDA	DIA	ID-based	Partially ID-free	MetWare pipeline-specific; primarily for metabolomics but adaptable	3	minutes		
RETENTION TIME & CHROMATOGRAPHY STABILITY	Cross-center retention consistency	DDA	DIA	Partially ID-based	ID-free	Multi-site harmonization QC; monitors RT reproducibility across centers	2	minutes		
RETENTION TIME & CHROMATOGRAPHY STABILITY	Real-time QC-based drift tracking	DDA	DIA	Partially ID-based	ID-free	Cloud-based QC monitoring; tracks raw and ID metrics in real-time	2	dimensionless		
RETENTION TIME & CHROMATOGRAPHY STABILITY	Instrument calibration verification (Preview)	DDA	DIA	NOT ID_based	ID-free	Pre-search QC using Protein Metrics Preview software	2	dimensionless		
RETENTION TIME & CHROMATOGRAPHY STABILITY	LC pressure and performance validation (instrument QC)	DDA	DIA	NOT ID_based	ID-free	System suitability; raw instrument monitoring	1	bar		
RETENTION TIME & CHROMATOGRAPHY STABILITY	Peak area stability (MS1 longitudinal)	DDA	DIA	Partially ID-based	ID-free	Longitudinal QC tracking; raw MS1 peak areas	2	arbitrary_units		
RETENTION TIME & CHROMATOGRAPHY STABILITY	RT stability (EAD platform)	DDA	NOT DIA	Partially ID-based	ID-free	Top-down proteomics platform-specific; monitors RT of intact proteins	3	minutes		
RETENTION TIME & CHROMATOGRAPHY STABILITY	RT consistency validation (MetWare pipeline)	DDA	DIA	ID-based	Partially ID-free	Multi-omics QC pipeline; validates RT alignment	3	minutes		
RETENTION TIME & CHROMATOGRAPHY STABILITY	LC MS/MS retention reproducibility (Q-Exactive HF-X)	DDA	DIA	Partially ID-based	ID-free	Instrument-specific QC; monitors LC-MS performance	2	minutes		
RETENTION TIME & CHROMATOGRAPHY STABILITY	RT stability (nanoLC 48-min gradient)	DDA	DIA	Partially ID-based	ID-free	Method-specific RT monitoring; raw chromatographic QC	2	minutes		
RETENTION TIME & CHROMATOGRAPHY STABILITY	Dynamic exclusion and PASEF cycle RT consistency	DDA	DIA	NOT ID_based	ID-free	timsTOF-specific; monitors acquisition cycle timing	3	milliseconds		
RETENTION TIME & CHROMATOGRAPHY STABILITY	Plate randomization (positional bias control)	DDA	DIA	NOT ID_based	ID-free	Sample handling QC; prevents position-based batch effects	2	dimensionless		
RETENTION TIME & CHROMATOGRAPHY STABILITY	Internal standard based RT normalization	DDA	DIA	ID-based	Partially ID-free	Normalizes RT using spiked standards; requires standard identification	2	dimensionless		
RETENTION TIME & CHROMATOGRAPHY STABILITY	Retention time calibration via iRT peptides	Partially DDA	DIA	ID-based	NOT ID-free	DIA-specific RT calibration; requires iRT peptide identification	2	minutes		
RETENTION TIME & CHROMATOGRAPHY STABILITY	Chromatographic reproducibility via PCA	DDA	DIA	ID-based	Partially ID-free	Multivariate QC; typically on identified features	2	dimensionless		
RETENTION TIME & CHROMATOGRAPHY STABILITY	LOWESS drift correction	DDA	DIA	ID-based	Partially ID-free	Nonlinear regression-based drift correction; instrument stability	2	dimensionless		
IDENTIFICATION CONFIDENCE (QUALITATIVE QC)	False Discovery Rate (FDR ? 1%)	DDA	DIA	ID-based	NOT ID-free	Universal proteomics standard; requires identifications	1	percent	MS:1002355	
IDENTIFICATION CONFIDENCE (QUALITATIVE QC)	"Q-value filtering (Spectronaut, Storey)"	Partially DDA	DIA	ID-based	NOT ID-free	Alternative to classical FDR; common in DIA workflows	2	dimensionless		
IDENTIFICATION CONFIDENCE (QUALITATIVE QC)	Peptide Spectrum Match (PSM) count	DDA	Partially DIA	ID-based	NOT ID-free	Primary DDA output; less emphasized in DIA (uses precursors)	1	count	MS:4000108	
IDENTIFICATION CONFIDENCE (QUALITATIVE QC)	Number of identified peptides / proteins	DDA	DIA	ID-based	NOT ID-free	Standard depth metric in both DDA and DIA	1	count	MS:4000024	
IDENTIFICATION CONFIDENCE (QUALITATIVE QC)	Peptide / protein FDR control via target-decoy	DDA	DIA	ID-based	NOT ID-free	Standard validation approach; requires database search	1	percent		
IDENTIFICATION CONFIDENCE (QUALITATIVE QC)	Protein group FDR (Picked Protein Group / mokapot)	DDA	DIA	ID-based	NOT ID-free	Advanced FDR control at protein level; CHIMERYS/MSAID platform	2	percent		
